,Entity,Year,Month,CasesxMill,DeathsxMill,PopDensity
0,Afghanistan,2020,1,0.0,0.0,47.807036957757646
1,Afghanistan,2020,2,0.03,0.0,47.807036957757646
2,Afghanistan,2020,3,3.68,0.11,47.807036957757646
3,Afghanistan,2020,4,47.53,1.47,47.807036957757646
4,Afghanistan,2020,5,330.58,4.97,47.807036957757646
5,Afghanistan,2020,6,439.33,12.72,47.807036957757646
6,Afghanistan,2020,7,139.43,14.14,47.807036957757646
7,Afghanistan,2020,8,42.58,3.44,47.807036957757646
8,Afghanistan,2020,9,28.71,1.47,47.807036957757646
9,Afghanistan,2020,10,57.07,2.05,47.807036957757646
10,Afghanistan,2020,11,116.16,5.97,47.807036957757646
11,Afghanistan,2020,12,90.14,5.47,47.807036957757646
12,Albania,2020,3,77.91,4.19,123.19232964177219
13,Albania,2020,4,189.7,6.64,123.19232964177219
14,Albania,2020,5,124.37,0.7,123.19232964177219
15,Albania,2020,6,469.53,8.73,123.19232964177219
16,Albania,2020,7,954.09,33.54,123.19232964177219
17,Albania,2020,8,1461.35,44.02,123.19232964177219
18,Albania,2020,9,1445.63,36.33,123.19232964177219
19,Albania,2020,10,2486.0,41.22,123.19232964177219
20,Albania,2020,11,5935.87,103.41,123.19232964177219
21,Albania,2020,12,3809.7,71.62,123.19232964177219
22,Algeria,2020,1,0.0,0.0,17.620974419697628
23,Algeria,2020,2,0.02,0.0,17.620974419697628
24,Algeria,2020,3,13.54,0.81,17.620974419697628
25,Algeria,2020,4,75.81,9.5,17.620974419697628
26,Algeria,2020,5,125.87,4.69,17.620974419697628
27,Algeria,2020,6,99.97,6.02,17.620974419697628
28,Algeria,2020,7,377.67,6.85,17.620974419697628
29,Algeria,2020,8,332.5,6.99,17.620974419697628
30,Algeria,2020,9,167.75,5.23,17.620974419697628
31,Algeria,2020,10,145.94,5.34,17.620974419697628
32,Algeria,2020,11,570.69,10.55,17.620974419697628
33,Algeria,2020,12,229.51,4.32,17.620974419697628
34,Andorra,2020,3,4857.11,105.02,197.56653344284769
35,Andorra,2020,4,4896.49,446.33,197.56653344284769
36,Andorra,2020,5,275.67,118.15,197.56653344284769
37,Andorra,2020,6,1194.59,13.13,197.56653344284769
38,Andorra,2020,7,879.53,0.0,197.56653344284769
39,Andorra,2020,8,2651.72,13.13,197.56653344284769
40,Andorra,2020,9,11053.21,0.0,197.56653344284769
41,Andorra,2020,10,35430.64,288.8,197.56653344284769
42,Andorra,2020,11,26871.63,13.13,197.56653344284769
43,Andorra,2020,12,8217.7,39.38,197.56653344284769
44,Angola,2020,3,0.22,0.06,21.285553510045247
45,Angola,2020,4,0.63,0.0,21.285553510045247
46,Angola,2020,5,1.79,0.06,21.285553510045247
47,Angola,2020,6,6.03,0.22,21.285553510045247
48,Angola,2020,7,25.2,1.16,21.285553510045247
49,Angola,2020,8,48.58,1.85,21.285553510045247
50,Angola,2020,9,71.67,2.26,21.285553510045247
51,Angola,2020,10,168.55,3.02,21.285553510045247
52,Angola,2020,11,151.89,2.23,21.285553510045247
53,Angola,2020,12,34.09,0.79,21.285553510045247
54,Argentina,2020,3,21.57,0.54,16.629245192941827
55,Argentina,2020,4,73.83,4.24,16.629245192941827
56,Argentina,2020,5,266.39,7.01,16.629245192941827
57,Argentina,2020,6,1028.43,16.79,16.629245192941827
58,Argentina,2020,7,2606.66,45.35,16.629245192941827
59,Argentina,2020,8,4962.92,113.67,16.629245192941827
60,Argentina,2020,9,7489.17,181.28,16.629245192941827
61,Argentina,2020,10,9391.77,318.73,16.629245192941827
62,Argentina,2020,11,5842.43,171.52,16.629245192941827
63,Argentina,2020,12,1772.33,51.21,16.629245192941827
64,Armenia,2020,1,0.0,0.0,115.63429682488017
65,Armenia,2020,2,0.0,0.0,115.63429682488017
66,Armenia,2020,3,179.87,1.01,115.63429682488017
67,Armenia,2020,4,518.64,9.8,115.63429682488017
68,Armenia,2020,5,2439.71,33.47,115.63429682488017
69,Armenia,2020,6,5497.46,105.49,115.63429682488017
70,Armenia,2020,7,4397.97,99.74,115.63429682488017
71,Armenia,2020,8,1758.11,47.0,115.63429682488017
72,Armenia,2020,9,2079.64,27.39,115.63429682488017
73,Armenia,2020,10,13494.14,129.49,115.63429682488017
74,Armenia,2020,11,15319.53,278.25,115.63429682488017
75,Armenia,2020,12,4583.92,114.62,115.63429682488017
76,Aruba,2020,3,470.32,0.0,599.1527862046514
77,Aruba,2020,4,470.32,18.81,599.1527862046514
78,Aruba,2020,5,9.41,9.41,599.1527862046514
79,Aruba,2020,6,18.81,0.0,599.1527862046514
80,Aruba,2020,7,159.91,0.0,599.1527862046514
81,Aruba,2020,8,17655.91,65.85,599.1527862046514
82,Aruba,2020,9,18220.3,150.5,599.1527862046514
83,Aruba,2020,10,5060.67,103.47,599.1527862046514
84,Aruba,2020,11,3442.76,75.25,599.1527862046514
85,Aruba,2020,12,1984.76,9.41,599.1527862046514
86,Australia,2020,1,0.28,0.0,3.1723113172986075
87,Australia,2020,2,0.71,0.0,3.1723113172986075
88,Australia,2020,3,179.82,0.75,3.1723113172986075
89,Australia,2020,4,86.85,2.82,3.1723113172986075
90,Australia,2020,5,17.42,0.48,3.1723113172986075
91,Australia,2020,6,23.09,0.08,3.1723113172986075
92,Australia,2020,7,338.69,3.37,3.1723113172986075
93,Australia,2020,8,371.66,16.74,3.1723113172986075
94,Australia,2020,9,55.27,10.75,3.1723113172986075
95,Australia,2020,10,20.59,0.99,3.1723113172986075
96,Australia,2020,11,12.34,0.0,3.1723113172986075
97,Australia,2020,12,5.48,0.04,3.1723113172986075
98,Austria,2020,1,0.0,0.0,104.17088083735331
99,Austria,2020,2,0.79,0.0,104.17088083735331
100,Austria,2020,3,1084.91,12.19,104.17088083735331
101,Austria,2020,4,648.62,53.28,104.17088083735331
102,Austria,2020,5,143.81,9.93,104.17088083735331
103,Austria,2020,6,116.04,3.95,104.17088083735331
104,Austria,2020,7,377.37,1.69,104.17088083735331
105,Austria,2020,8,700.89,1.69,104.17088083735331
106,Austria,2020,9,1962.91,7.11,104.17088083735331
107,Austria,2020,10,6415.79,31.95,104.17088083735331
108,Austria,2020,11,19950.73,206.01,104.17088083735331
